,control,5nMTG,NonCancerOral,accuracy,f1-score_macro,RMSE,Trial,K-fold
0,0.35907862,0.5669893,0.073932104,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
1,0.41030025,0.53404444,0.055655234,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
2,0.40126336,0.5575195,0.041217215,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
3,0.19776967,0.71882147,0.083408825,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
4,0.31204116,0.6170147,0.07094414,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
5,0.30721778,0.64682055,0.04596165,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
6,0.36991674,0.60134536,0.02873793,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
7,0.28243512,0.65507495,0.062489957,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
8,0.26878893,0.68185645,0.049354635,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
9,0.4132661,0.49429587,0.09243801,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
10,0.3851828,0.57927215,0.035545006,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
11,0.32211584,0.6133703,0.0645139,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
12,0.47703993,0.44746098,0.0754991,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
13,0.30272096,0.6741181,0.02316094,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
14,0.42374307,0.5153283,0.06092864,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
15,0.36406392,0.5909807,0.04495541,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
16,0.23182538,0.7279822,0.040192377,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
17,0.3514952,0.57608294,0.0724218,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
18,0.23652379,0.72594756,0.037528664,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
19,0.41731268,0.5069002,0.07578713,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
20,0.35274675,0.60906124,0.038191956,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
21,0.40116253,0.56094825,0.037889186,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
22,0.3107216,0.6286654,0.060613036,0.9722222222222222,0.9722101606600088,0.20645908982920705,0,0
