,control,5nMTG,NonCancerOral,accuracy,f1-score_macro,Trial,K-fold
0,0.85201544,0.1325455,0.0154390875,0.9722222222222222,0.9722101606600088,0,0
1,0.7364131,0.2561686,0.007418251,0.9722222222222222,0.9722101606600088,0,0
2,0.72723556,0.2596186,0.01314581,0.9722222222222222,0.9722101606600088,0,0
3,0.8505216,0.14426942,0.0052088965,0.9722222222222222,0.9722101606600088,0,0
4,0.87969095,0.089355275,0.030953795,0.9722222222222222,0.9722101606600088,0,0
5,0.8565686,0.13581455,0.0076168794,0.9722222222222222,0.9722101606600088,0,0
6,0.9184514,0.06370709,0.017841538,0.9722222222222222,0.9722101606600088,0,0
7,0.8963321,0.092692815,0.010975137,0.9722222222222222,0.9722101606600088,0,0
8,0.94081736,0.046714347,0.01246831,0.9722222222222222,0.9722101606600088,0,0
9,0.8778622,0.11388737,0.008250422,0.9722222222222222,0.9722101606600088,0,0
10,0.98133415,0.014906444,0.0037594512,0.9722222222222222,0.9722101606600088,0,0
11,0.45927423,0.52141106,0.019314673,0.9722222222222222,0.9722101606600088,0,0
12,0.9246839,0.06717325,0.008142706,0.9722222222222222,0.9722101606600088,0,0
13,0.8787271,0.100385174,0.020887716,0.9722222222222222,0.9722101606600088,0,0
14,0.87662476,0.117453486,0.005921756,0.9722222222222222,0.9722101606600088,0,0
15,0.85386664,0.126571,0.019562403,0.9722222222222222,0.9722101606600088,0,0
16,0.89556944,0.09990118,0.0045293774,0.9722222222222222,0.9722101606600088,0,0
17,0.81439054,0.17674392,0.008865478,0.9722222222222222,0.9722101606600088,0,0
18,0.9136096,0.07815719,0.008233224,0.9722222222222222,0.9722101606600088,0,0
19,0.96542245,0.028822292,0.005755253,0.9722222222222222,0.9722101606600088,0,0
20,0.71793604,0.25439975,0.027664188,0.9722222222222222,0.9722101606600088,0,0
21,0.7359082,0.23066837,0.03342341,0.9722222222222222,0.9722101606600088,0,0
22,0.95848316,0.030308979,0.011207887,0.9722222222222222,0.9722101606600088,0,0
23,0.93710804,0.050078183,0.012813787,0.9722222222222222,0.9722101606600088,0,0
24,0.9425461,0.0508663,0.0065876073,0.9722222222222222,0.9722101606600088,0,0
25,0.50048435,0.49393088,0.005584696,0.9722222222222222,0.9722101606600088,0,0
26,0.69999963,0.29306912,0.0069311927,0.9722222222222222,0.9722101606600088,0,0
27,0.9338699,0.043270182,0.022859933,0.9722222222222222,0.9722101606600088,0,0
28,0.93997693,0.050521,0.009502093,0.9722222222222222,0.9722101606600088,0,0
29,0.61061084,0.35366526,0.03572398,0.9722222222222222,0.9722101606600088,0,0
30,0.6498281,0.30719677,0.042975206,0.9722222222222222,0.9722101606600088,0,0
31,0.7718362,0.2212037,0.006960027,0.9722222222222222,0.9722101606600088,0,0
32,0.94167334,0.045288112,0.013038589,0.9722222222222222,0.9722101606600088,0,0
33,0.7575829,0.2314747,0.010942437,0.9722222222222222,0.9722101606600088,0,0
34,0.9254512,0.06374398,0.010804891,0.9722222222222222,0.9722101606600088,0,0
35,0.91773397,0.080537155,0.0017289042,0.9722222222222222,0.9722101606600088,0,0
36,0.8993954,0.089807995,0.010796533,0.9722222222222222,0.9722101606600088,0,0
37,0.8545852,0.12001014,0.025404632,0.9722222222222222,0.9722101606600088,0,0
38,0.9000975,0.09476767,0.005134865,0.9722222222222222,0.9722101606600088,0,0
39,0.96347135,0.03223342,0.0042952523,0.9722222222222222,0.9722101606600088,0,0
40,0.8435039,0.13376838,0.022727847,0.9722222222222222,0.9722101606600088,0,0
41,0.6680295,0.306308,0.025662472,0.9722222222222222,0.9722101606600088,0,0
42,0.8216331,0.15812854,0.020238394,0.9722222222222222,0.9722101606600088,0,0
43,0.8535883,0.13565052,0.010761294,0.9722222222222222,0.9722101606600088,0,0
44,0.81157774,0.17962265,0.008799567,0.9722222222222222,0.9722101606600088,0,0
